Person ID,First Name,Last Name,Harm Score,Removability Score,Kow Score
1,Aaron,Aaberg,0,6,5
2,Aaron,Aaby,6,5,41
3,Abbey,Aadland,4,6,9
4,Abbie,Aagaard,321,8,26
5,Abby,Aakre,1,5,29
6,Abdul,Aaland,1,6,13
7,Abe,Aalbers,1,8,33
8,Abel,Aalderink,1,6,5
9,Abigail,Aalund,0,9,25
10,Abraham,Aamodt,1,8,29
11,Abram,Aamot,119,5,5
12,Ada,Aanderud,0,6,29
13,Adah,Aanenson,5,9,29
14,Adalberto,Aanerud,3,5,5
15,Adaline,Aarant,2,7,13
16,Adam,Aardema,1,8,29
17,Adam,Aarestad,1,8,5
18,Adan,Aarhus,10,4,38
19,Addie,Aaron,214,7,29
20,Adela,Aarons,0,8,33
21,Adelaida,Aaronson,5,7,33
22,Adelaide,Aarsvold,0,8,13
23,Adele,Aas,1,7,33
24,Adelia,Aasby,0,8,33
25,Adelina,Aase,119,8,33
26,Adeline,Aasen,0,9,13
27,Adell,Aavang,0,7,9
28,Adella,Abad,4,9,25
29,Adelle,Abadi,0,4,9
30,Adena,Abadie,2,7,9
31,Adina,Abair,3,8,29
32,Adolfo,Abaja,10,5,25
33,Adolph,Abajian,0,7,25
34,Adria,Abalos,6,8,0
35,Adrian,Abaloz,5,9,25
36,Adrian,Abar,1,8,5
37,Adriana,Abarca,0,8,9
38,Adriane,Abare,1,8,30
39,Adrianna,Abascal,2,8,33
40,Adrianne,Abasta,0,7,41
41,Adrien,Abate,0,8,9
42,Adriene,Abati,4,7,29
43,Adrienne,Abatiell,0,8,46
44,Afton,Abato,1,5,41
45,Agatha,Abatti,3,7,19
46,Agnes,Abaunza,1,8,33
47,Agnus,Abaya,1,8,9
48,Agripina,Abbadessa,0,8,25
49,Agueda,Abbamonte,9,6,29
50,Agustin,Abbas,6,8,29
51,Agustina,Abbasi,1,7,29
52,Ahmad,Abbassi,1,5,33
53,Ahmed,Abbate,0,7,29
54,Ai,Abbatiello,126,7,29
55,Aida,Abbay,1,9,29
56,Aide,Abbe,0,8,33
57,Aiko,Abbed,0,6,29
58,Aileen,Abbenante,6,7,25
59,Ailene,Abbey,0,7,29
60,Aimee,Abbinanti,0,9,29
61,Aisha,Abbington,1,8,5
62,Aja,Abbitt,0,5,33
63,Akiko,Abbot,1,9,29
64,Akilah,Abbott,32,7,33
65,Al,Abboud,3,8,33
66,Alaina,Abbruzzese,0,6,33
67,Alaine,Abbs,0,7,25
68,Alan,Abby,468,9,29
69,Alana,Abdalla,2,8,29
70,Alane,Abdallah,136,7,9
71,Alanna,Abdel,126,8,29
72,Alayna,Abdelal,18,9,38
73,Alba,Abdelaziz,3,7,25
74,Albert,Abdeldayen,19,8,29
75,Albert,Abdelhamid,37,6,33
76,Alberta,Abdella,42,8,19
77,Albertha,Abdelmuti,19,5,29
78,Albertina,Abdelrahman,0,8,29
79,Albertine,Abdelwahed,0,7,38
80,Alberto,Abdi,7,7,5
81,Albina,Abdin,102,8,29
82,Alda,Abdo,9,6,29
83,Alden,Abdon,112,6,30
84,Aldo,Abdool,0,6,38
85,Alease,Abdou,5,7,30
86,Alec,Abdul,0,6,25
87,Alecia,Abdula,2,7,25
88,Aleen,Abdulaziz,5,7,9
89,Aleida,Abdulkarim,2,8,25
90,Aleisha,Abdulla,11,8,29
91,Alejandra,Abdullah,2,7,5
92,Alejandrina,Abdullai,6,8,29
93,Alejandro,Abdulmateen,0,7,25
94,Alena,Abdulmuniem,136,8,13
95,Alene,Abdur,237,3,33
96,Alesha,Abe,6,6,29
97,Aleshia,Abeb,1,5,25
98,Alesia,Abed,120,6,25
99,Alessandra,Abedelah,36,6,29
100,Aleta,Abedi,0,7,33
101,Aletha,Abee,6,8,5
102,Alethea,Abegg,0,6,29
103,Alethia,Abeita,213,8,29
104,Alex,Abel,6,6,29
105,Alex,Abela,114,8,33
106,Alexa,Abelar,6,8,29
107,Alexander,Abelardo,7,6,29
108,Alexander,Abele,1,8,5
109,Alexandra,Abeles,221,7,33
110,Alexandria,Abell,118,7,13
111,Alexia,Abella,5,5,15
112,Alexis,Abellera,5,8,15
113,Alexis,Abelman,22,8,29
114,Alfonso,Abeln,0,8,19
115,Alfonzo,Abels,1,5,29
116,Alfred,Abelson,116,9,33
117,Alfreda,Aben,107,5,5
118,Alfredia,Abend,0,6,29
119,Alfredo,Abendroth,0,8,9
120,Ali,Aber,0,7,25
121,Ali,Abercombie,12,8,46
122,Alia,Abercrombie,0,6,29
123,Alica,Aberle,118,6,29
124,Alice,Abernatha,0,7,29
125,Alicia,Abernathy,2,4,29
126,Alida,Abernethy,1,7,13
127,Alina,Aberson,2,9,25
128,Aline,Abes,29,5,25
129,Alisa,Abeta,3,5,41
130,Alise,Abete,0,6,9
131,Alisha,Abetrani,1,8,29
132,Alishia,Abeyta,0,6,5
133,Alisia,Abide,0,6,13
134,Alison,Abigantus,7,7,29
135,Alissa,Abila,0,5,5
136,Alita,Abilay,1,5,41
137,Alix,Abild,0,8,33
138,Aliza,Abilez,0,6,29
139,Alla,Abina,1,7,30
140,Allan,Abington,6,7,29
141,Alleen,Abitong,111,7,29
142,Allegra,Abke,8,6,29
143,Allen,Abkemeier,2,8,29
144,Allen,Ablang,116,8,33
145,Allena,Ablao,2,7,29
146,Allene,Able,7,9,29
147,Allie,Ableman,1,8,5
148,Alline,Abler,118,8,25
149,Allison,Ables,0,8,29
150,Allyn,Ablin,0,8,33
151,Allyson,Abling,7,6,29
152,Alma,Abner,16,6,33
153,Almeda,Abnet,2,7,9
154,Almeta,Abney,1,6,29
155,Alona,Abo,6,6,33
156,Alonso,Abolafia,7,7,13
157,Alonzo,Abolt,5,4,25
158,Alpha,Abood,0,5,29
159,Alphonse,Aboshihata,1,7,5
160,Alphonso,Aboud,107,7,33
161,Alta,Aboudi,0,7,25
162,Altagracia,Aboulahoud,2,7,29
163,Altha,Aboulissan,101,7,33
164,Althea,Abousaleh,3,8,29
165,Alton,Aboytes,8,8,25
166,Alva,Abplanalp,0,7,29
167,Alva,Abrachinsky,0,8,29
168,Alvaro,Abraham,0,7,29
169,Alvera,Abrahamian,2,4,33
170,Alverta,Abrahams,128,6,25
171,Alvin,Abrahamsen,6,7,25
172,Alvina,Abrahamson,2,7,9
173,Alyce,Abram,5,5,30
174,Alycia,Abramek,217,5,0
175,Alysa,Abramian,26,7,29
